reportedyear,FSA,reportedmonth,,MCI,Count of MCI
2017,M5N,March,3.00,Break and Enter,6
2017,M5P,March,3.00,Assault,10
2017,M5P,March,3.00,Break and Enter,10
2017,M5P,March,3.00,Theft Over,1
2017,M5R,March,3.00,Assault,25
2017,M5R,March,3.00,Auto Theft,4
2017,M5R,March,3.00,Break and Enter,9
2017,M5R,March,3.00,Robbery,5
2017,M5R,March,3.00,Theft Over,3
2017,M5S,March,3.00,Assault,26
2017,M5S,March,3.00,Auto Theft,1
2017,M5S,March,3.00,Break and Enter,4
2017,M5S,March,3.00,Robbery,3
2017,M5T,March,3.00,Assault,35
2017,M5T,March,3.00,Auto Theft,1
2017,M5T,March,3.00,Break and Enter,11
2017,M5T,March,3.00,Robbery,5
2017,M5T,March,3.00,Theft Over,4
2017,M5V,March,3.00,Assault,44
2017,M5V,March,3.00,Auto Theft,5
2017,M5V,March,3.00,Break and Enter,15
2017,M5V,March,3.00,Robbery,5
2017,M5V,March,3.00,Theft Over,4
2017,M6A,March,3.00,Assault,10
2017,M6A,March,3.00,Auto Theft,5
2017,M6A,March,3.00,Break and Enter,10
2017,M6A,March,3.00,Robbery,5
2017,M6A,March,3.00,Theft Over,4
2017,M6B,March,3.00,Assault,4
2017,M6B,March,3.00,Break and Enter,5
2017,M6B,March,3.00,Robbery,3
2017,M6C,March,3.00,Assault,10
2017,M6C,March,3.00,Auto Theft,1
2017,M6C,March,3.00,Break and Enter,9
2017,M6C,March,3.00,Robbery,2
2017,M6C,March,3.00,Theft Over,1
2017,M6E,March,3.00,Assault,22
2017,M6E,March,3.00,Auto Theft,5
2017,M6E,March,3.00,Break and Enter,4
2017,M6E,March,3.00,Robbery,4
2017,M6G,March,3.00,Assault,22
2017,M6G,March,3.00,Auto Theft,3
2017,M6G,March,3.00,Break and Enter,8
2017,M6G,March,3.00,Robbery,7
2017,M6G,March,3.00,Theft Over,5
2017,M6H,March,3.00,Assault,24
2017,M6H,March,3.00,Auto Theft,2
2017,M6H,March,3.00,Break and Enter,13
2017,M6H,March,3.00,Robbery,2
2017,M6H,March,3.00,Theft Over,1
2017,M6J,March,3.00,Assault,26
2017,M6J,March,3.00,Break and Enter,8
2017,M6J,March,3.00,Robbery,5
2017,M6J,March,3.00,Theft Over,1
2017,M6K,March,3.00,Assault,27
2017,M6K,March,3.00,Auto Theft,4
2017,M6K,March,3.00,Break and Enter,8
2017,M6K,March,3.00,Robbery,2
2017,M6K,March,3.00,Theft Over,2
2017,M6L,March,3.00,Assault,9
2017,M6L,March,3.00,Auto Theft,1
2017,M6L,March,3.00,Break and Enter,4
2017,M6M,March,3.00,Assault,31
2017,M6M,March,3.00,Auto Theft,3
2017,M6M,March,3.00,Break and Enter,6
2017,M6M,March,3.00,Robbery,6
2017,M6N,March,3.00,Assault,21
2017,M6N,March,3.00,Break and Enter,6
2017,M6N,March,3.00,Robbery,9
2017,M6N,March,3.00,Theft Over,2
2017,M6P,March,3.00,Assault,11
2017,M6P,March,3.00,Auto Theft,2
2017,M6P,March,3.00,Break and Enter,8
2017,M6P,March,3.00,Robbery,4
2017,M6R,March,3.00,Assault,14
2017,M6R,March,3.00,Auto Theft,3
2017,M6R,March,3.00,Break and Enter,5
2017,M6R,March,3.00,Theft Over,1
2017,M6S,March,3.00,Assault,8
2017,M6S,March,3.00,Auto Theft,1
2017,M6S,March,3.00,Break and Enter,3
2017,M6S,March,3.00,Robbery,7
2017,M8V,March,3.00,Assault,3
2017,M8V,March,3.00,Auto Theft,1
2017,M8V,March,3.00,Break and Enter,1
2017,M8V,March,3.00,Robbery,1
2017,M8X,March,3.00,Assault,5
2017,M8X,March,3.00,Break and Enter,4
2017,M8Y,March,3.00,Assault,6
2017,M8Y,March,3.00,Auto Theft,3
2017,M8Y,March,3.00,Break and Enter,4
2017,M8Y,March,3.00,Robbery,2
2017,M8Z,March,3.00,Assault,4
2017,M8Z,March,3.00,Break and Enter,4
2017,M8Z,March,3.00,Theft Over,1
2017,M9A,March,3.00,Assault,5
2017,M9A,March,3.00,Auto Theft,3
2017,M9A,March,3.00,Break and Enter,10
2017,M9A,March,3.00,Robbery,3
2017,M9B,March,3.00,Assault,5
2017,M9B,March,3.00,Auto Theft,9
2017,M9B,March,3.00,Break and Enter,6
2017,M9B,March,3.00,Robbery,5
2017,M9B,March,3.00,Theft Over,1
2017,M9C,March,3.00,Assault,13
2017,M9C,March,3.00,Auto Theft,1
2017,M9C,March,3.00,Break and Enter,2
2017,M9C,March,3.00,Robbery,2
2017,M9L,March,3.00,Assault,7
2017,M9L,March,3.00,Break and Enter,2
2017,M9L,March,3.00,Robbery,1
2017,M9L,March,3.00,Theft Over,2
2017,M9M,March,3.00,Assault,19
2017,M9M,March,3.00,Auto Theft,8
2017,M9M,March,3.00,Break and Enter,4
2017,M9N,March,3.00,Assault,23
2017,M9N,March,3.00,Auto Theft,9
2017,M9N,March,3.00,Break and Enter,6
2017,M9N,March,3.00,Robbery,1
2017,M9P,March,3.00,Assault,9
2017,M9P,March,3.00,Auto Theft,1
2017,M9P,March,3.00,Break and Enter,3
2017,M9P,March,3.00,Robbery,2
2017,M9P,March,3.00,Theft Over,1
2017,M9R,March,3.00,Assault,20
2017,M9R,March,3.00,Auto Theft,5
2017,M9R,March,3.00,Break and Enter,3
2017,M9R,March,3.00,Robbery,2
2017,M9V,March,3.00,Assault,20
2017,M9V,March,3.00,Auto Theft,26
2017,M9V,March,3.00,Break and Enter,5
2017,M9V,March,3.00,Robbery,15
2017,M9V,March,3.00,Theft Over,1
2017,M9W,March,3.00,Assault,33
2017,M9W,March,3.00,Auto Theft,33
2017,M9W,March,3.00,Break and Enter,9
2017,M9W,March,3.00,Robbery,10
2017,M9W,March,3.00,Theft Over,1
2017,Overall,March,3.00,Assault,1402
2017,Overall,March,3.00,Break and Enter,553
2017,Overall,March,3.00,Auto Theft,271
2017,Overall,March,3.00,Robbery,262
2017,Overall,March,3.00,Theft Over,91
2018,M1B,March,3.00,Assault,17
2018,M1B,March,3.00,Auto Theft,7
2018,M1B,March,3.00,Break and Enter,5
2018,M1B,March,3.00,Robbery,4
2018,M1C,March,3.00,Assault,14
2018,M1C,March,3.00,Auto Theft,3
2018,M1C,March,3.00,Break and Enter,6
2018,M1C,March,3.00,Robbery,2
2018,M1E,March,3.00,Assault,40
2018,M1E,March,3.00,Auto Theft,3
2018,M1E,March,3.00,Break and Enter,7
2018,M1E,March,3.00,Robbery,9
2018,M1G,March,3.00,Assault,16
2018,M1G,March,3.00,Auto Theft,6
2018,M1G,March,3.00,Break and Enter,1
2018,M1G,March,3.00,Robbery,1
2018,M1H,March,3.00,Assault,13
2018,M1H,March,3.00,Auto Theft,5
2018,M1H,March,3.00,Break and Enter,2
2018,M1H,March,3.00,Robbery,6
2018,M1H,March,3.00,Theft Over,2
2018,M1J,March,3.00,Assault,14
2018,M1J,March,3.00,Auto Theft,2
2018,M1J,March,3.00,Break and Enter,4
2018,M1J,March,3.00,Robbery,1
2018,M1J,March,3.00,Theft Over,1
2018,M1K,March,3.00,Assault,28
2018,M1K,March,3.00,Auto Theft,3
2018,M1K,March,3.00,Break and Enter,14
2018,M1K,March,3.00,Robbery,10
2018,M1K,March,3.00,Theft Over,2
2018,M1L,March,3.00,Assault,35
2018,M1L,March,3.00,Auto Theft,1
2018,M1L,March,3.00,Break and Enter,10
2018,M1L,March,3.00,Robbery,8
2018,M1L,March,3.00,Theft Over,1
2018,M1M,March,3.00,Assault,18
2018,M1M,March,3.00,Auto Theft,1
2018,M1M,March,3.00,Break and Enter,6
2018,M1M,March,3.00,Robbery,2
2018,M1M,March,3.00,Theft Over,1
2018,M1N,March,3.00,Assault,14
2018,M1N,March,3.00,Auto Theft,1
2018,M1N,March,3.00,Break and Enter,5
2018,M1N,March,3.00,Theft Over,2
2018,M1P,March,3.00,Assault,25
2018,M1P,March,3.00,Auto Theft,8
2018,M1P,March,3.00,Break and Enter,5
2018,M1P,March,3.00,Robbery,10
2018,M1P,March,3.00,Theft Over,2
2018,M1R,March,3.00,Assault,13
2018,M1R,March,3.00,Auto Theft,7
2018,M1R,March,3.00,Break and Enter,7
2018,M1R,March,3.00,Robbery,3
2018,M1R,March,3.00,Theft Over,2
2018,M1S,March,3.00,Assault,12
2018,M1S,March,3.00,Auto Theft,3
2018,M1S,March,3.00,Break and Enter,5
2018,M1S,March,3.00,Robbery,6
2018,M1T,March,3.00,Assault,9
2018,M1T,March,3.00,Auto Theft,3
2018,M1T,March,3.00,Break and Enter,6
2018,M1T,March,3.00,Theft Over,1
2018,M1V,March,3.00,Assault,16
2018,M1V,March,3.00,Auto Theft,10
2018,M1V,March,3.00,Break and Enter,10
2018,M1V,March,3.00,Robbery,5
2018,M1W,March,3.00,Assault,9
2018,M1W,March,3.00,Auto Theft,2
2018,M1W,March,3.00,Break and Enter,8
2018,M1W,March,3.00,Robbery,2
2018,M1W,March,3.00,Theft Over,1
2018,M1X,March,3.00,Assault,9
2018,M1X,March,3.00,Auto Theft,2
2018,M1X,March,3.00,Break and Enter,1
2018,M1X,March,3.00,Robbery,2
2018,M2H,March,3.00,Assault,8
2018,M2H,March,3.00,Auto Theft,1
2018,M2H,March,3.00,Break and Enter,2
2018,M2H,March,3.00,Theft Over,1
2018,M2J,March,3.00,Assault,23
2018,M2J,March,3.00,Auto Theft,6
2018,M2J,March,3.00,Break and Enter,5
2018,M2J,March,3.00,Robbery,4
2018,M2J,March,3.00,Theft Over,3
2018,M2K,March,3.00,Assault,3
2018,M2K,March,3.00,Break and Enter,2
2018,M2K,March,3.00,Theft Over,2
2018,M2L,March,3.00,Assault,2
2018,M2L,March,3.00,Auto Theft,1
2018,M2L,March,3.00,Break and Enter,5
2018,M2M,March,3.00,Assault,7
2018,M2M,March,3.00,Auto Theft,3
2018,M2M,March,3.00,Break and Enter,5
2018,M2M,March,3.00,Robbery,2
2018,M2M,March,3.00,Theft Over,2
2018,M2N,March,3.00,Assault,18
2018,M2N,March,3.00,Auto Theft,7
2018,M2N,March,3.00,Break and Enter,9
2018,M2N,March,3.00,Robbery,20
2018,M2N,March,3.00,Theft Over,2
2018,M2P,March,3.00,Break and Enter,3
2018,M2R,March,3.00,Assault,14
2018,M2R,March,3.00,Auto Theft,1
2018,M2R,March,3.00,Break and Enter,4
2018,M3A,March,3.00,Assault,15
2018,M3A,March,3.00,Break and Enter,8
2018,M3A,March,3.00,Robbery,2
2018,M3B,March,3.00,Assault,2
2018,M3B,March,3.00,Break and Enter,5
2018,M3C,March,3.00,Assault,9
2018,M3C,March,3.00,Auto Theft,2
2018,M3C,March,3.00,Break and Enter,3
2018,M3C,March,3.00,Robbery,1
2018,M3H,March,3.00,Assault,10
2018,M3H,March,3.00,Auto Theft,8
2018,M3H,March,3.00,Break and Enter,9
2018,M3H,March,3.00,Robbery,2
2018,M3H,March,3.00,Theft Over,1
2018,M3J,March,3.00,Assault,31
2018,M3J,March,3.00,Auto Theft,4
2018,M3J,March,3.00,Break and Enter,7
2018,M3J,March,3.00,Robbery,5
2018,M3J,March,3.00,Theft Over,3
2018,M3K,March,3.00,Assault,3
2018,M3K,March,3.00,Auto Theft,4
2018,M3K,March,3.00,Theft Over,1
2018,M3L,March,3.00,Assault,26
2018,M3L,March,3.00,Auto Theft,3
2018,M3L,March,3.00,Break and Enter,1
2018,M3L,March,3.00,Robbery,2
2018,M3L,March,3.00,Theft Over,2
2018,M3M,March,3.00,Assault,12
2018,M3M,March,3.00,Auto Theft,2
2018,M3M,March,3.00,Break and Enter,3
2018,M3M,March,3.00,Robbery,1
2018,M3N,March,3.00,Assault,44
2018,M3N,March,3.00,Auto Theft,7
2018,M3N,March,3.00,Break and Enter,6
2018,M3N,March,3.00,Robbery,7
2018,M3N,March,3.00,Theft Over,1
2018,M4A,March,3.00,Assault,11
2018,M4A,March,3.00,Break and Enter,4
2018,M4A,March,3.00,Theft Over,1
2018,M4B,March,3.00,Assault,20
2018,M4B,March,3.00,Auto Theft,1
2018,M4B,March,3.00,Break and Enter,3
2018,M4B,March,3.00,Robbery,1
2018,M4B,March,3.00,Theft Over,1
2018,M4C,March,3.00,Assault,23
2018,M4C,March,3.00,Break and Enter,7
2018,M4C,March,3.00,Robbery,6
2018,M4C,March,3.00,Theft Over,1
2018,M4E,March,3.00,Assault,12
2018,M4E,March,3.00,Auto Theft,1
2018,M4E,March,3.00,Break and Enter,3
2018,M4E,March,3.00,Robbery,1
2018,M4E,March,3.00,Theft Over,1
2018,M4G,March,3.00,Assault,3
2018,M4G,March,3.00,Auto Theft,1
2018,M4G,March,3.00,Break and Enter,1
2018,M4G,March,3.00,Theft Over,1
2018,M4H,March,3.00,Assault,13
2018,M4H,March,3.00,Break and Enter,2
2018,M4J,March,3.00,Assault,22
2018,M4J,March,3.00,Auto Theft,1
2018,M4J,March,3.00,Break and Enter,7
2018,M4J,March,3.00,Robbery,3
2018,M4K,March,3.00,Assault,16
2018,M4K,March,3.00,Auto Theft,2
2018,M4K,March,3.00,Break and Enter,10
2018,M4K,March,3.00,Robbery,2
2018,M4L,March,3.00,Assault,19
2018,M4L,March,3.00,Auto Theft,2
2018,M4L,March,3.00,Break and Enter,9
2018,M4M,March,3.00,Assault,9
2018,M4M,March,3.00,Auto Theft,1
2018,M4M,March,3.00,Break and Enter,6
2018,M4M,March,3.00,Robbery,3
2018,M4M,March,3.00,Theft Over,2
2018,M4N,March,3.00,Assault,4
2018,M4N,March,3.00,Auto Theft,1
2018,M4N,March,3.00,Break and Enter,3
2018,M4P,March,3.00,Assault,5
2018,M4P,March,3.00,Break and Enter,8
2018,M4P,March,3.00,Robbery,4
2018,M4P,March,3.00,Theft Over,1
2018,M4R,March,3.00,Assault,3
2018,M4R,March,3.00,Break and Enter,8
2018,M4S,March,3.00,Assault,5
2018,M4S,March,3.00,Break and Enter,5
2018,M4S,March,3.00,Robbery,1
2018,M4T,March,3.00,Auto Theft,3
2018,M4T,March,3.00,Break and Enter,2
2018,M4V,March,3.00,Assault,9
2018,M4V,March,3.00,Break and Enter,3
2018,M4W,March,3.00,Assault,23
2018,M4W,March,3.00,Auto Theft,3
2018,M4W,March,3.00,Break and Enter,11
2018,M4W,March,3.00,Robbery,2
2018,M4W,March,3.00,Theft Over,1
2018,M4X,March,3.00,Assault,22
2018,M4X,March,3.00,Auto Theft,3
2018,M4X,March,3.00,Break and Enter,8
2018,M4X,March,3.00,Robbery,1
2018,M4Y,March,3.00,Assault,40
2018,M4Y,March,3.00,Auto Theft,1
2018,M4Y,March,3.00,Break and Enter,15
2018,M4Y,March,3.00,Robbery,6
2018,M4Y,March,3.00,Theft Over,2
2018,M5A,March,3.00,Assault,64
2018,M5A,March,3.00,Auto Theft,1
2018,M5A,March,3.00,Break and Enter,20
2018,M5A,March,3.00,Robbery,29
2018,M5A,March,3.00,Theft Over,2
2018,M5B,March,3.00,Assault,31
2018,M5B,March,3.00,Auto Theft,4
2018,M5B,March,3.00,Break and Enter,11
2018,M5B,March,3.00,Robbery,11
2018,M5B,March,3.00,Theft Over,1
2018,M5C,March,3.00,Break and Enter,1
2018,M5E,March,3.00,Assault,9
2018,M5E,March,3.00,Break and Enter,4
2018,M5E,March,3.00,Robbery,1
2018,M5E,March,3.00,Theft Over,1
2018,M5G,March,3.00,Assault,40
2018,M5G,March,3.00,Auto Theft,2
2018,M5G,March,3.00,Break and Enter,9
2018,M5G,March,3.00,Robbery,11
2018,M5G,March,3.00,Theft Over,1
2018,M5H,March,3.00,Assault,18
2018,M5H,March,3.00,Break and Enter,2
2018,M5H,March,3.00,Robbery,3
2018,M5H,March,3.00,Theft Over,1
2018,M5J,March,3.00,Assault,28
2018,M5J,March,3.00,Auto Theft,2
2018,M5J,March,3.00,Break and Enter,4
2018,M5M,March,3.00,Assault,11
2018,M5M,March,3.00,Auto Theft,9
2018,M5M,March,3.00,Break and Enter,8
2018,M5N,March,3.00,Auto Theft,1
2018,M5N,March,3.00,Break and Enter,6
2018,M5N,March,3.00,Robbery,5
2018,M5N,March,3.00,Theft Over,1
2018,M5P,March,3.00,Assault,12
2018,M5P,March,3.00,Auto Theft,2
2018,M5P,March,3.00,Break and Enter,6
2018,M5P,March,3.00,Robbery,1
2018,M5P,March,3.00,Theft Over,2
2018,M5R,March,3.00,Assault,23
2018,M5R,March,3.00,Auto Theft,2
2018,M5R,March,3.00,Break and Enter,14
2018,M5R,March,3.00,Robbery,3
2018,M5R,March,3.00,Theft Over,5
2018,M5S,March,3.00,Assault,23
2018,M5S,March,3.00,Break and Enter,6
2018,M5S,March,3.00,Robbery,1
2018,M5S,March,3.00,Theft Over,3
2018,M5T,March,3.00,Assault,28
2018,M5T,March,3.00,Auto Theft,2
2018,M5T,March,3.00,Break and Enter,15
2018,M5T,March,3.00,Robbery,7
2018,M5T,March,3.00,Theft Over,2
2018,M5V,March,3.00,Assault,50
2018,M5V,March,3.00,Auto Theft,5
2018,M5V,March,3.00,Break and Enter,17
2018,M5V,March,3.00,Robbery,13
2018,M5V,March,3.00,Theft Over,2
2018,M6A,March,3.00,Assault,28
2018,M6A,March,3.00,Auto Theft,2
2018,M6A,March,3.00,Break and Enter,8
2018,M6A,March,3.00,Robbery,1
2018,M6A,March,3.00,Theft Over,1
2018,M6B,March,3.00,Assault,6
2018,M6B,March,3.00,Auto Theft,3
2018,M6B,March,3.00,Break and Enter,11
2018,M6B,March,3.00,Robbery,2
2018,M6C,March,3.00,Assault,7
2018,M6C,March,3.00,Auto Theft,3
2018,M6C,March,3.00,Break and Enter,10
2018,M6C,March,3.00,Robbery,6
2018,M6C,March,3.00,Theft Over,2
2018,M6E,March,3.00,Assault,10
2018,M6E,March,3.00,Auto Theft,6
2018,M6E,March,3.00,Break and Enter,3
2018,M6E,March,3.00,Robbery,9
2018,M6G,March,3.00,Assault,21
2018,M6G,March,3.00,Auto Theft,1
2018,M6G,March,3.00,Break and Enter,8
2018,M6G,March,3.00,Robbery,2
2018,M6G,March,3.00,Theft Over,1
2018,M6H,March,3.00,Assault,37
2018,M6H,March,3.00,Auto Theft,5
2018,M6H,March,3.00,Break and Enter,22
2018,M6H,March,3.00,Robbery,2
2018,M6H,March,3.00,Theft Over,2
2018,M6J,March,3.00,Assault,17
2018,M6J,March,3.00,Auto Theft,4
2018,M6J,March,3.00,Break and Enter,4
2018,M6J,March,3.00,Robbery,5
2018,M6J,March,3.00,Theft Over,4
2018,M6K,March,3.00,Assault,22
2018,M6K,March,3.00,Auto Theft,7
2018,M6K,March,3.00,Break and Enter,16
2018,M6K,March,3.00,Robbery,10
2018,M6K,March,3.00,Theft Over,3
2018,M6L,March,3.00,Assault,8
2018,M6L,March,3.00,Auto Theft,7
2018,M6L,March,3.00,Robbery,1
2018,M6M,March,3.00,Assault,20
2018,M6M,March,3.00,Auto Theft,6
2018,M6M,March,3.00,Break and Enter,9
2018,M6M,March,3.00,Robbery,3
2018,M6M,March,3.00,Theft Over,3
2018,M6N,March,3.00,Assault,31
2018,M6N,March,3.00,Auto Theft,5
2018,M6N,March,3.00,Break and Enter,4
2018,M6N,March,3.00,Robbery,14
2018,M6N,March,3.00,Theft Over,1
2018,M6P,March,3.00,Assault,10
2018,M6P,March,3.00,Auto Theft,3
2018,M6P,March,3.00,Break and Enter,19
2018,M6P,March,3.00,Robbery,2
2018,M6R,March,3.00,Assault,6
2018,M6R,March,3.00,Auto Theft,3
2018,M6R,March,3.00,Break and Enter,3
2018,M6R,March,3.00,Robbery,5
2018,M6R,March,3.00,Theft Over,1
2018,M6S,March,3.00,Assault,10
2018,M6S,March,3.00,Auto Theft,1
2018,M6S,March,3.00,Break and Enter,5
2018,M6S,March,3.00,Robbery,1
2018,M8V,March,3.00,Assault,9
2018,M8V,March,3.00,Robbery,5
2018,M8V,March,3.00,Theft Over,2
2018,M8W,March,3.00,Assault,2
2018,M8W,March,3.00,Auto Theft,6
2018,M8W,March,3.00,Break and Enter,1
2018,M8W,March,3.00,Robbery,3
2018,M8W,March,3.00,Theft Over,3
2018,M8X,March,3.00,Auto Theft,1
2018,M8X,March,3.00,Break and Enter,2
2018,M8X,March,3.00,Robbery,3
2018,M8X,March,3.00,Theft Over,1
2018,M8Y,March,3.00,Assault,9
2018,M8Y,March,3.00,Auto Theft,2
2018,M8Y,March,3.00,Break and Enter,5
2018,M8Z,March,3.00,Assault,29
2018,M8Z,March,3.00,Auto Theft,3
2018,M8Z,March,3.00,Break and Enter,5
2018,M8Z,March,3.00,Robbery,7
2018,M8Z,March,3.00,Theft Over,2
2018,M9A,March,3.00,Assault,10
2018,M9A,March,3.00,Auto Theft,2
2018,M9A,March,3.00,Break and Enter,9
2018,M9A,March,3.00,Robbery,1
2018,M9B,March,3.00,Assault,6
2018,M9B,March,3.00,Auto Theft,4
2018,M9B,March,3.00,Break and Enter,4
2018,M9B,March,3.00,Robbery,2
2018,M9B,March,3.00,Theft Over,1
2018,M9C,March,3.00,Assault,9
2018,M9C,March,3.00,Auto Theft,3
2018,M9C,March,3.00,Break and Enter,4
2018,M9C,March,3.00,Robbery,7
2018,M9C,March,3.00,Theft Over,3
2018,M9L,March,3.00,Assault,9
2018,M9L,March,3.00,Auto Theft,9
2018,M9L,March,3.00,Break and Enter,4
2018,M9L,March,3.00,Robbery,3
2018,M9M,March,3.00,Assault,13
2018,M9M,March,3.00,Auto Theft,6
2018,M9M,March,3.00,Break and Enter,2
2018,M9M,March,3.00,Robbery,4
2018,M9M,March,3.00,Theft Over,2
2018,M9N,March,3.00,Assault,16
2018,M9N,March,3.00,Auto Theft,10
2018,M9N,March,3.00,Break and Enter,1
2018,M9N,March,3.00,Robbery,10
2018,M9N,March,3.00,Theft Over,1
2018,M9P,March,3.00,Assault,7
2018,M9P,March,3.00,Auto Theft,3
2018,M9P,March,3.00,Break and Enter,2
2018,M9P,March,3.00,Robbery,3
2018,M9R,March,3.00,Assault,16
2018,M9R,March,3.00,Auto Theft,6
2018,M9R,March,3.00,Break and Enter,5
2018,M9R,March,3.00,Robbery,4
2018,M9V,March,3.00,Assault,31
2018,M9V,March,3.00,Auto Theft,17
2018,M9V,March,3.00,Break and Enter,7
2018,M9V,March,3.00,Robbery,2
2018,M9W,March,3.00,Assault,23
2018,M9W,March,3.00,Auto Theft,41
2018,M9W,March,3.00,Break and Enter,10
2018,M9W,March,3.00,Robbery,4
2018,M9W,March,3.00,Theft Over,2
2018,Overall,March,3.00,Assault,1547
2018,Overall,March,3.00,Break and Enter,600
2018,Overall,March,3.00,Robbery,353
2018,Overall,March,3.00,Auto Theft,335
2018,Overall,March,3.00,Theft Over,100
2019,M1B,March,3.00,Assault,32
2019,M1B,March,3.00,Auto Theft,6
2019,M1B,March,3.00,Break and Enter,4
2019,M1B,March,3.00,Robbery,9
2019,M1C,March,3.00,Assault,5
2019,M1C,March,3.00,Auto Theft,5
2019,M1C,March,3.00,Break and Enter,7
2019,M1C,March,3.00,Robbery,3
2019,M1E,March,3.00,Assault,41
2019,M1E,March,3.00,Auto Theft,4
2019,M1E,March,3.00,Break and Enter,8
2019,M1E,March,3.00,Robbery,6
2019,M1E,March,3.00,Theft Over,1
2019,M1G,March,3.00,Assault,21
2019,M1G,March,3.00,Auto Theft,6
2019,M1G,March,3.00,Break and Enter,3
2019,M1G,March,3.00,Robbery,1
2019,M1G,March,3.00,Theft Over,1
2019,M1H,March,3.00,Assault,28
2019,M1H,March,3.00,Auto Theft,2
2019,M1H,March,3.00,Break and Enter,2
2019,M1H,March,3.00,Robbery,4
2019,M1J,March,3.00,Assault,22
2019,M1J,March,3.00,Auto Theft,2
2019,M1J,March,3.00,Break and Enter,4
2019,M1J,March,3.00,Robbery,3
2019,M1J,March,3.00,Theft Over,1
2019,M1K,March,3.00,Assault,34
2019,M1K,March,3.00,Auto Theft,6
2019,M1K,March,3.00,Break and Enter,5
2019,M1K,March,3.00,Robbery,2
2019,M1L,March,3.00,Assault,24
2019,M1L,March,3.00,Auto Theft,5
2019,M1L,March,3.00,Break and Enter,14
2019,M1L,March,3.00,Robbery,3
2019,M1L,March,3.00,Theft Over,2
2019,M1M,March,3.00,Assault,17
2019,M1M,March,3.00,Auto Theft,1
2019,M1M,March,3.00,Break and Enter,1
2019,M1M,March,3.00,Robbery,2
2019,M1N,March,3.00,Assault,21
2019,M1N,March,3.00,Auto Theft,2
2019,M1N,March,3.00,Break and Enter,5
2019,M1N,March,3.00,Robbery,6
2019,M1P,March,3.00,Assault,40
2019,M1P,March,3.00,Auto Theft,10
2019,M1P,March,3.00,Break and Enter,6
2019,M1P,March,3.00,Robbery,12
2019,M1P,March,3.00,Theft Over,1
2019,M1R,March,3.00,Assault,24
2019,M1R,March,3.00,Auto Theft,5
2019,M1R,March,3.00,Break and Enter,6
2019,M1R,March,3.00,Robbery,5
2019,M1S,March,3.00,Assault,21
2019,M1S,March,3.00,Auto Theft,2
2019,M1S,March,3.00,Break and Enter,10
2019,M1S,March,3.00,Robbery,2
2019,M1S,March,3.00,Theft Over,2
2019,M1T,March,3.00,Assault,7
2019,M1T,March,3.00,Auto Theft,2
2019,M1T,March,3.00,Break and Enter,20
2019,M1T,March,3.00,Robbery,1
2019,M1V,March,3.00,Assault,8
2019,M1V,March,3.00,Auto Theft,2
2019,M1V,March,3.00,Break and Enter,2
2019,M1W,March,3.00,Assault,9
2019,M1W,March,3.00,Auto Theft,5
2019,M1W,March,3.00,Break and Enter,5
2019,M1W,March,3.00,Robbery,4
2019,M2H,March,3.00,Assault,12
2019,M2H,March,3.00,Auto Theft,2
2019,M2H,March,3.00,Break and Enter,4
2019,M2H,March,3.00,Robbery,2
2019,M2H,March,3.00,Theft Over,1
2019,M2J,March,3.00,Assault,17
2019,M2J,March,3.00,Auto Theft,4
2019,M2J,March,3.00,Break and Enter,6
2019,M2J,March,3.00,Robbery,8
2019,M2J,March,3.00,Theft Over,3
2019,M2K,March,3.00,Assault,7
2019,M2K,March,3.00,Auto Theft,4
2019,M2K,March,3.00,Break and Enter,5
2019,M2K,March,3.00,Theft Over,1
2019,M2L,March,3.00,Assault,1
2019,M2L,March,3.00,Auto Theft,1
2019,M2L,March,3.00,Break and Enter,5
2019,M2L,March,3.00,Robbery,1
2019,M2M,March,3.00,Assault,8
2019,M2M,March,3.00,Auto Theft,8
2019,M2M,March,3.00,Break and Enter,10
2019,M2M,March,3.00,Theft Over,1
2019,M2N,March,3.00,Assault,26
2019,M2N,March,3.00,Auto Theft,5
2019,M2N,March,3.00,Break and Enter,7
2019,M2N,March,3.00,Robbery,1
2019,M2N,March,3.00,Theft Over,1
2019,M2P,March,3.00,Assault,2
2019,M2R,March,3.00,Assault,13
2019,M2R,March,3.00,Auto Theft,2
2019,M2R,March,3.00,Break and Enter,2
2019,M2R,March,3.00,Robbery,2
2019,M3A,March,3.00,Assault,16
2019,M3A,March,3.00,Auto Theft,8
2019,M3A,March,3.00,Break and Enter,11
2019,M3A,March,3.00,Robbery,2
2019,M3B,March,3.00,Assault,2
2019,M3B,March,3.00,Auto Theft,1
2019,M3B,March,3.00,Break and Enter,4
2019,M3B,March,3.00,Robbery,1
2019,M3C,March,3.00,Assault,12
2019,M3C,March,3.00,Break and Enter,3
2019,M3C,March,3.00,Robbery,1
2019,M3C,March,3.00,Theft Over,2
2019,M3H,March,3.00,Assault,14
2019,M3H,March,3.00,Auto Theft,10
2019,M3H,March,3.00,Break and Enter,5
2019,M3H,March,3.00,Theft Over,1
2019,M3J,March,3.00,Assault,36
2019,M3J,March,3.00,Auto Theft,9
2019,M3J,March,3.00,Break and Enter,5
2019,M3J,March,3.00,Robbery,3
2019,M3J,March,3.00,Theft Over,2
2019,M3K,March,3.00,Assault,4
2019,M3K,March,3.00,Auto Theft,2
2019,M3K,March,3.00,Break and Enter,1
2019,M3K,March,3.00,Robbery,2
